order_id,user_id,order_at,total_order_amount,master_item_count,subledger_item_count,order_reconciliation,order_item_count_recon,order_status_recon
18314,14584,2019-08-14 20:02:03.000000,2.95,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
71999,57579,2024-06-07 12:57:33.000000,42.68,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
80599,64457,2026-06-12 18:35:08.000000,207.6,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
63451,50704,2025-11-13 09:06:24.000000,5.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
35520,28355,2023-07-27 00:35:17.000000,242.45,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
26099,20853,2025-04-19 13:49:12.000000,75.94,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
60167,48046,2024-05-31 18:11:52.000000,5.99,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
47475,37927,2023-12-27 11:42:47.000000,38.9,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
69922,55927,2025-07-16 02:10:13.000000,42.0,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
71375,57091,2026-06-14 21:43:34.661598,6.25,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
31802,25407,2025-10-18 15:26:09.000000,48.55,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
35149,28071,2024-10-11 09:04:36.000000,65.34,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
52837,42166,2024-04-16 05:15:39.000000,50.39,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
24387,19480,2024-05-25 05:48:14.000000,490.43,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
8375,6690,2024-04-03 21:21:07.000000,116.93,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
106708,85518,2025-09-26 23:29:53.000000,6.99,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
95064,76193,2024-01-19 21:30:20.000000,6.99,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
34740,27750,2026-01-13 05:17:13.000000,183.49,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
109829,87990,2024-10-08 12:02:38.000000,140.95,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
837,674,2026-06-11 14:00:58.000000,40.46,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
