order_id,user_id,order_date,gross_revenue,refund_amount,total_item_count,total_returned_items,net_revenue,refund_value_rate,refund_count_rate,refund_type
33881,27273,2026-03-31 18:46:51.000000,225.95,0.0,4,0,225.95,0.0,0.0,NO REFUND
99289,79459,2024-04-10 08:44:20.000000,3.0,0.0,1,0,3.0,0.0,0.0,NO REFUND
86518,69241,2025-09-02 05:31:34.000000,309.21,0.0,4,0,309.21,0.0,0.0,NO REFUND
88791,71060,2022-12-17 06:35:21.000000,4.73,4.73,1,1,0.0,1.0,1.0,FULLY REFUNDED
42765,34340,2022-04-24 04:51:07.000000,53.5,0.0,3,0,53.5,0.0,0.0,NO REFUND
43518,34935,2022-07-15 13:12:32.000000,306.98,0.0,3,0,306.98,0.0,0.0,NO REFUND
57031,45705,2025-02-06 00:31:42.000000,6.99,0.0,1,0,6.99,0.0,0.0,NO REFUND
52883,42412,2022-09-03 05:25:50.000000,40.1,0.0,2,0,40.1,0.0,0.0,NO REFUND
72373,58103,2024-02-06 10:03:58.000000,43.94,0.0,2,0,43.94,0.0,0.0,NO REFUND
9988,8032,2021-06-02 01:35:15.000000,204.5,0.0,3,0,204.5,0.0,0.0,NO REFUND
28611,23016,2025-03-21 05:10:34.000000,65.03,0.0,3,0,65.03,0.0,0.0,NO REFUND
71326,57258,2024-12-26 22:24:57.000000,7.99,0.0,1,0,7.99,0.0,0.0,NO REFUND
43008,34527,2026-03-05 00:00:25.000000,7.99,0.0,1,0,7.99,0.0,0.0,NO REFUND
35501,28554,2023-01-15 05:56:37.000000,117.07,117.07,4,4,0.0,1.0,1.0,FULLY REFUNDED
24610,19809,2025-08-31 20:41:04.000000,8.99,0.0,1,0,8.99,0.0,0.0,NO REFUND
17632,14192,2026-06-17 22:02:40.000000,101.1,0.0,4,0,101.1,0.0,0.0,NO REFUND
54937,44042,2026-05-20 03:55:16.000000,126.67,126.67,3,3,0.0,1.0,1.0,FULLY REFUNDED
62613,50194,2025-05-23 23:24:09.000000,103.37,0.0,3,0,103.37,0.0,0.0,NO REFUND
41040,32965,2019-04-25 04:59:52.000000,178.66,178.66,3,3,0.0,1.0,1.0,FULLY REFUNDED
66622,53382,2021-05-06 23:59:22.000000,103.88,0.0,3,0,103.88,0.0,0.0,NO REFUND
37205,29925,2025-12-08 09:21:24.000000,9.95,0.0,1,0,9.95,0.0,0.0,NO REFUND
57850,46361,2025-12-16 02:55:06.000000,54.45,0.0,2,0,54.45,0.0,0.0,NO REFUND
9030,7224,2026-02-28 08:24:26.000000,77.98,0.0,3,0,77.98,0.0,0.0,NO REFUND
125082,99842,2026-06-18 05:53:26.117662,87.99,87.99,2,2,0.0,1.0,1.0,FULLY REFUNDED
22509,18079,2025-02-09 16:56:44.000000,116.94,0.0,3,0,116.94,0.0,0.0,NO REFUND
62533,50140,2026-04-17 14:01:53.000000,74.99,0.0,3,0,74.99,0.0,0.0,NO REFUND
49757,39849,2023-05-19 03:04:44.000000,165.39,0.0,4,0,165.39,0.0,0.0,NO REFUND
117504,93809,2021-09-26 09:21:43.000000,56.12,0.0,3,0,56.12,0.0,0.0,NO REFUND
67925,54447,2025-03-24 02:14:18.000000,10.0,0.0,1,0,10.0,0.0,0.0,NO REFUND
91514,73252,2026-04-21 10:03:58.000000,25.56,0.0,2,0,25.56,0.0,0.0,NO REFUND
104972,83965,2026-05-21 00:25:11.000000,528.95,0.0,4,0,528.95,0.0,0.0,NO REFUND
118601,94648,2025-04-16 07:29:53.000000,10.49,0.0,1,0,10.49,0.0,0.0,NO REFUND
18604,14974,2025-04-13 10:03:13.000000,96.5,0.0,2,0,96.5,0.0,0.0,NO REFUND
94135,75379,2025-02-16 20:00:59.000000,65.79,0.0,3,0,65.79,0.0,0.0,NO REFUND
46830,37544,2024-09-19 03:16:05.000000,129.9,129.9,4,4,0.0,1.0,1.0,FULLY REFUNDED
48259,38691,2026-03-27 05:08:17.000000,138.99,0.0,2,0,138.99,0.0,0.0,NO REFUND
69392,55645,2024-06-24 18:02:05.000000,36.0,0.0,2,0,36.0,0.0,0.0,NO REFUND
100327,80276,2021-07-08 14:00:08.000000,11.0,0.0,1,0,11.0,0.0,0.0,NO REFUND
96067,76888,2024-06-25 02:01:19.000000,11.03,0.0,1,0,11.03,0.0,0.0,NO REFUND
30893,24873,2023-06-27 07:31:27.000000,11.08,0.0,1,0,11.08,0.0,0.0,NO REFUND
