order_id,user_id,created_at,shipped_at,gross_revenue,order_status,recognized_revenue,total_item_count,data_integrity_status,cutoff_status
-24,62090,2025-06-02 17:04:00.000000,2025-06-05 18:00:00.000000,140.0,complete,140.0,2,MATCHED,NORMAL
-27,42701,2025-06-02 15:29:00.000000,2025-06-03 16:29:00.000000,423.0,complete,423.0,3,MATCHED,NORMAL
-55,25919,2025-06-04 10:39:00.000000,2025-06-08 05:00:00.000000,313.0,complete,313.0,3,MATCHED,NORMAL
-73,99829,2025-06-05 12:14:00.000000,2025-06-06 21:14:00.000000,400.0,complete,400.0,3,MATCHED,NORMAL
-82,78352,2025-06-06 09:55:00.000000,2025-06-07 15:55:00.000000,103.0,complete,103.0,2,MATCHED,NORMAL
-92,38660,2025-06-07 10:00:00.000000,2025-06-08 18:00:00.000000,300.0,"complete,returned",300.0,3,MATCHED,NORMAL
-114,25594,2025-06-08 09:28:00.000000,2025-06-11 19:00:00.000000,137.0,complete,137.0,2,MATCHED,NORMAL
-115,58345,2025-06-08 10:06:00.000000,2025-06-10 05:06:00.000000,247.0,"complete,shipped",247.0,2,MATCHED,NORMAL
-130,3944,2025-06-09 14:04:00.000000,2025-06-11 13:04:00.000000,396.0,"complete,returned",396.0,3,MATCHED,NORMAL
-144,3398,2025-06-10 17:16:00.000000,2025-06-12 17:16:00.000000,514.0,"complete,shipped",514.0,3,MATCHED,NORMAL
-157,38510,2025-06-11 15:05:00.000000,2025-06-13 03:05:00.000000,52.0,complete,52.0,1,MATCHED,NORMAL
-193,52731,2025-06-13 15:16:00.000000,2025-06-15 14:16:00.000000,180.0,complete,180.0,2,MATCHED,NORMAL
-204,64975,2025-06-14 09:47:00.000000,2025-06-16 08:47:00.000000,189.0,complete,189.0,1,MATCHED,NORMAL
-215,50387,2025-06-15 16:42:00.000000,2025-06-20 00:00:00.000000,152.0,complete,152.0,1,MATCHED,NORMAL
-238,59768,2025-06-16 11:12:00.000000,2025-06-17 12:12:00.000000,173.0,"complete,returned",173.0,2,MATCHED,NORMAL
-259,5277,2025-06-18 15:23:00.000000,2025-06-20 04:23:00.000000,206.0,"complete,returned",206.0,3,MATCHED,NORMAL
-278,34384,2025-06-19 09:42:00.000000,2025-06-23 13:00:00.000000,135.0,complete,135.0,1,MATCHED,NORMAL
-321,85270,2025-06-22 09:49:00.000000,2025-06-24 00:49:00.000000,424.0,"complete,returned",424.0,3,MATCHED,NORMAL
-322,15126,2025-06-22 16:16:00.000000,2025-06-23 16:16:00.000000,181.0,complete,181.0,2,MATCHED,NORMAL
-336,15345,2025-06-23 09:21:00.000000,2025-06-24 18:21:00.000000,423.0,complete,423.0,3,MATCHED,NORMAL
-366,58584,2025-06-25 17:48:00.000000,2025-06-27 13:48:00.000000,152.0,complete,152.0,2,MATCHED,NORMAL
-367,73211,2025-06-25 09:36:00.000000,2025-06-27 02:36:00.000000,181.0,complete,181.0,2,MATCHED,NORMAL
-389,39909,2025-06-26 16:52:00.000000,2025-06-28 16:52:00.000000,92.0,complete,92.0,1,MATCHED,NORMAL
-418,36137,2025-06-28 16:26:00.000000,2025-06-30 15:26:00.000000,441.0,complete,441.0,3,MATCHED,NORMAL
-419,497,2025-06-28 11:13:00.000000,2025-06-29 14:13:00.000000,107.0,complete,107.0,1,MATCHED,NORMAL
-438,57724,2025-06-30 17:13:00.000000,2025-07-01 21:13:00.000000,278.0,complete,278.0,2,MATCHED,POTENTIAL CUT-OFF RISK
-442,91921,2025-06-30 11:02:00.000000,2025-07-01 21:02:00.000000,313.0,"complete,shipped",313.0,3,MATCHED,POTENTIAL CUT-OFF RISK
-455,93930,2025-07-01 11:44:00.000000,2025-07-02 20:44:00.000000,333.0,complete,333.0,3,MATCHED,NORMAL
-470,86311,2025-07-02 10:24:00.000000,2025-07-03 10:24:00.000000,187.0,"complete,returned",187.0,2,MATCHED,NORMAL
-483,33340,2025-07-03 11:55:00.000000,2025-07-05 00:55:00.000000,365.0,"complete,returned",365.0,2,MATCHED,NORMAL
-493,71721,2025-07-03 12:41:00.000000,2025-07-06 17:00:00.000000,246.0,complete,246.0,3,MATCHED,NORMAL
-511,2944,2025-07-05 10:16:00.000000,2025-07-07 08:16:00.000000,222.0,"complete,returned",222.0,2,MATCHED,NORMAL
-513,47963,2025-07-05 13:37:00.000000,2025-07-07 09:37:00.000000,327.0,complete,327.0,2,MATCHED,NORMAL
-520,51248,2025-07-05 17:59:00.000000,2025-07-09 15:00:00.000000,292.0,complete,292.0,2,MATCHED,NORMAL
-521,74875,2025-07-05 11:37:00.000000,2025-07-07 08:37:00.000000,217.0,complete,217.0,2,MATCHED,NORMAL
-537,52449,2025-07-06 09:35:00.000000,2025-07-07 19:35:00.000000,333.0,complete,333.0,2,MATCHED,NORMAL
-539,94191,2025-07-06 16:33:00.000000,2025-07-07 19:33:00.000000,69.0,complete,69.0,2,MATCHED,NORMAL
-583,71499,2025-07-09 16:02:00.000000,2025-07-12 12:00:00.000000,252.0,complete,252.0,2,MATCHED,NORMAL
-584,82790,2025-07-09 10:55:00.000000,2025-07-10 15:55:00.000000,294.0,"complete,returned",294.0,2,MATCHED,NORMAL
-592,95385,2025-07-10 13:43:00.000000,2025-07-12 13:43:00.000000,148.0,complete,148.0,1,MATCHED,NORMAL
-595,7897,2025-07-10 09:16:00.000000,2025-07-13 19:00:00.000000,189.0,complete,189.0,1,MATCHED,NORMAL
-598,47837,2025-07-10 16:17:00.000000,2025-07-12 05:17:00.000000,241.0,"complete,returned",241.0,2,MATCHED,NORMAL
-606,14467,2025-07-11 16:03:00.000000,2025-07-13 05:03:00.000000,261.0,complete,261.0,3,MATCHED,NORMAL
-611,185,2025-07-11 10:22:00.000000,2025-07-13 00:22:00.000000,64.0,"complete,returned",64.0,2,MATCHED,NORMAL
-615,29071,2025-07-11 17:45:00.000000,2025-07-13 09:45:00.000000,363.0,"complete,returned",363.0,3,MATCHED,NORMAL
-621,87823,2025-07-12 11:05:00.000000,2025-07-14 09:05:00.000000,211.0,complete,211.0,2,MATCHED,NORMAL
-624,51327,2025-07-12 12:17:00.000000,2025-07-13 19:17:00.000000,350.0,"complete,returned",350.0,3,MATCHED,NORMAL
-646,80443,2025-07-14 14:16:00.000000,2025-07-16 05:16:00.000000,112.0,complete,112.0,1,MATCHED,NORMAL
-648,98971,2025-07-14 16:06:00.000000,2025-07-16 03:06:00.000000,260.0,"complete,returned",260.0,2,MATCHED,NORMAL
-652,91121,2025-07-14 09:42:00.000000,2025-07-15 14:42:00.000000,342.0,"complete,returned",342.0,3,MATCHED,NORMAL
-676,59934,2025-07-16 10:23:00.000000,2025-07-19 10:00:00.000000,387.0,complete,387.0,3,MATCHED,NORMAL
-691,89187,2025-07-17 11:51:00.000000,2025-07-18 20:51:00.000000,373.0,complete,373.0,3,MATCHED,NORMAL
